"Date","YSlow.Grade....","PageSpeed.Grade....","Onload.Time..s.","Total.Size..bytes.","Total.Requests","TTFB..ms.","HTML.Size..bytes.","Redirect.duration..ms.","Connection.duration..ms.","Backend.duration..ms.","DOM.interactive..ms.","DOM.content.loaded..ms.","DOM.content.loaded.duration..ms.","Onload..ms.","Onload.duration..ms.","Fully.loaded..ms.","First.paint..ms.","RUM.Speed.Index","First.contentful.paint..ms.","Total Visits","Mobile Device","Desktop Device","Monthly Visits","Avg. Visit Duration","Pages Per Visit","Bounce Rate","url"
"2019-07-30 13:09:16",57,80,4.366,1536092,99,1906,13339,901,645,360,2874,3104,46,4366,34,5610,2481,2534,2481,"812,033","45.93","54.07","270,678","02.55","2.00","64.85","1funny.com"
"2019-07-30 13:10:54",55,67,2.62,1174888,142,383,7204,216,14,153,1091,1092,0,2620,12,3309,644,654,644,"7.747","18.90","81.10","2.582","01.38","1.57","75.19","2carpros.com"
"2019-07-30 13:13:51",71,81,1.169,689145,37,407,7313,163,164,80,844,844,6,1169,1,1266,585,585,585,"1.197","52.39","47.61","399,271","00.53","1.22","86.83","1728.org"
"2019-07-30 13:14:51",52,56,2.944,2399582,133,501,22098,163,223,115,1466,1466,28,2944,24,3074,1362,1836,1362,"1.372","33.36","66.64","457,406","02.56","3.70","57.98","barrett-jackson.com"
"2019-07-30 13:15:45",66,68,2.32,2151903,126,475,15169,202,37,236,1214,1214,59,2320,19,3164,903,917,903,"2.255","34.96","65.04","751,870","03","2.14","73.47","bassresource.com"
"2019-07-30 13:17:11",56,62,2.949,1941657,167,192,44995,69,90,33,1972,1972,211,2949,13,4636,873,913,873,"1.330","43.56","56.44","443,604","04.18","2.69","57.28","bendbulletin.com"
"2019-07-27 12:33:00",50,55,2.957,2034000,84,497,136731,44,113,340,1251,1254,132,2957,20,4672,942,944,942,"7.199","38.88","61.12","2.399","02.01","2.88","69.90","biblia.com"
"2019-07-30 13:20:29",85,97,1.103,1075158,25,518,11284,184,172,162,710,710,0,1103,2,1239,710,938,710,"2.109","48.18","51.82","703,050","04.32","5.16","45.05","billiongraves.com"
"2019-07-30 13:21:54",48,12,4.095,3315387,979,1111,17495,493,23,595,2290,2296,37,4095,2,11033,1949,2026,1949,"8.465","35.79","64.21","2.821","03.14","2.06","61.09","bizpacreview.com"
"2019-07-27 12:45:14",55,61,2.78,2436443,172,636,8247,284,258,94,1439,1440,25,2780,13,3328,1164,1199,1164,"5.587","73.11","26.89","1.862","02.17","3.92","41.02","brandsoftheworld.com"
"2019-07-27 12:57:23",60,67,3.25,1502681,112,1126,7251,905,146,75,1522,1929,39,3250,73,4681,1910,1910,1910,"6.365","45.67","54.33","2.121","00.42","1.38","83.38","calendar-365.com"
"2019-06-28 14:31:00",43,48,7.46,3692165,248,829,24296,434,240,155,2826,2826,82,7460,47,7674,1930,1990,1930,"00",".","16.03","2019","38.19.60","46.47","2019","carsense.com"
"2019-07-28 09:50:36",79,75,4.314,854740,79,2243,8897,28,397,1818,3124,3124,0,4314,1,6061,3072,3276,3072,"933,196","19.62","80.38","311,065","02.07","2.45","53.49","cdispatch.com"
"2019-07-23 00:58:14",92,84,1.477,868519,29,391,11915,197,58,136,563,1306,36,1477,7,1626,988,988,988,"143.7","68.96","31.04","47.91","18.07","9.32","22.40","chess.com"
"2019-07-28 09:53:11",37,0,7.521,19234476,458,1036,42979,437,180,419,4274,4274,165,7521,18,9896,2196,2278,2196,"2.913","33.00","67.00","971,033","03.56","2.48","65.67","chronofhorse.com"
"2019-07-28 09:59:12",74,68,1.381,1094940,66,542,26694,186,136,220,1158,1158,54,1381,0,3408,945,960,945,"40.89","78.48","21.52","13.63","01.59","1.70","76.59","codeproject.com"
"2019-06-29 09:42:42",50,52,5.718,2149436,262,1176,19407,394,405,377,2436,2436,1,5718,3,7378,1797,1798,3396,"3.532","39.47","60.53","1.177","02.17","3.13","72.88","complaintsboard.com"
"2019-06-29 09:45:24",68,69,1.109,1311489,105,95,8163,39,26,30,760,760,16,1109,10,5344,707,726,707,"2.829","63.01","36.99","943,172","01.26","1.52","80.92","constitutioncenter.org"
"2019-07-28 10:27:16",62,77,2.093,1727431,90,840,24539,66,109,665,1504,1504,15,2093,41,2839,1222,1222,1222,"6.268","40.88","59.12","2.089","01.22","1.60","71.51","consumersadvocate.org"
"2019-07-28 10:41:57",60,73,2.053,1111939,79,435,8121,199,138,98,1234,1234,0,2053,1,2136,1327,1506,1327,"8.387","46.83","53.17","2.795","02.52","4.05","53.82","convio.net"
"2019-07-28 10:47:42",76,62,1.554,3829529,62,319,3890,142,38,139,853,854,0,1554,6,1786,728,1061,728,"1.770","45.63","54.37","590,054","01.12","3.40","71.92","cosplay.com"
"2019-07-28 10:49:16",51,59,4.492,6285936,275,370,44878,130,61,179,1521,1522,712,4492,14,6401,900,1005,900,"1.357","29.28","70.72","452,526","02.44","3.12","73.43","kidzworld.com"
"2019-07-28 10:50:59",45,45,7.141,3734460,279,541,23727,103,352,86,1592,1596,160,7141,8,7314,1386,1723,1386,"22.17","66.24","33.76","7.392","03.20","2.46","61.08","komando.com"
"2019-07-28 11:05:46",57,54,3.605,3821226,156,235,23165,55,153,27,1589,1589,283,3605,35,4429,1266,1303,1611,"1.472","49.42","50.58","490,977","00.53","1.39","78.13","kuow.org"
